dateTime,deviceoutput,cashback,hasInternetFlat,hasMultimediaFlat,hasPhoneFlat,positionInTheList,averageMonthlyPrice,providerName,providerReviewsAmount,scoreTotalLabelOutOf10,scoreTotalMarkOutOf10,tariffName,transferType
2025-03-09 14:00:00,tabletapp,300.0,True,False,True,,22.94,Provider_yellow,,Sehr gut,8.2,ExtraZuhause 250 Kabel ,cable
2025-03-09 18:30:00,desktop,200.0,True,False,True,,26.19,Provider_yellow,,Gut,7.7,ExtraZuhause 100 DSL ,dsl
2025-03-09 21:00:00,desktop,200.0,True,False,True,,26.24,Provider_yellow,,Gut,7.7,ExtraZuhause 100 DSL ,dsl
2025-03-09 17:00:00,desktop,400.0,True,False,True,,15.28,Provider_yellow,,Gut,7.8,ExtraZuhause 100 Kabel ,cable
2025-03-09 12:30:00,desktop,400.0,True,False,True,,15.28,Provider_yellow,,Gut,7.8,ExtraZuhause 100 Kabel ,cable
2025-03-09 19:30:00,desktop,200.0,True,False,True,,22.79,Provider_green,,Sehr gut,8.5,My Zuhause L Young ,dsl
2025-03-09 18:30:00,desktop,200.0,True,False,False,,13.41,Regioprovider2,,Gut,7.3,Full Speed 250 ,cable
2025-03-09 20:30:00,desktop,200.0,True,False,True,,16.45,Provider_yellow,,Gut,7.5,ExtraZuhause 50 DSL ,dsl
2025-03-09 20:00:00,desktop,400.0,True,True,True,,15.28,Provider_yellow,,Sehr gut,8.4,ExtraZuhause 100 Kabel inkl. TV Connect ,cable
2025-03-09 16:30:00,desktop,200.0,True,False,True,,30.28,Provider_green,,Sehr gut,8.5,My Zuhause L ,dsl
2025-03-09 10:30:00,mobile,400.0,True,False,True,,14.45,Provider_yellow,,Gut,7.8,ExtraZuhause 100 Kabel ,cable
2025-03-09 10:30:00,tabletapp,400.0,True,True,True,,15.28,Provider_yellow,,Sehr gut,8.3,ExtraZuhause 100 Kabel inkl. TV Connect ,cable
2025-03-09 21:30:00,tabletapp,400.0,True,False,True,,13.2,Provider_yellow,,Sehr gut,8.2,ExtraZuhause 100 Kabel ,cable
2025-03-09 21:00:00,desktop,200.0,True,False,True,,29.4,Provider_green,,Sehr gut,8.4,Glasfaser 150 ,fiberglass
2025-03-09 19:30:00,desktop,200.0,True,False,True,,26.19,Provider_yellow,,Sehr gut,8.0,ExtraZuhause 100 DSL ,dsl
2025-03-09 12:30:00,desktop,200.0,True,False,True,,22.91,Provider_yellow,,Gut,7.7,ExtraZuhause 100 DSL ,dsl
2025-03-09 11:00:00,desktop,200.0,True,False,True,,18.53,Provider_yellow,,Gut,7.5,ExtraZuhause 50 DSL ,dsl
2025-03-09 23:00:00,desktop,200.0,True,False,True,,37.77,Provider_green,,Sehr gut,8.5,My Zuhause L Regio ,dsl
2025-03-09 05:00:00,desktop,200.0,True,False,True,,49.78,Provider_yellow,,Gut,7.9,ExtraZuhause 1.000 ,fiberglass
2025-03-09 10:30:00,desktop,300.0,True,True,True,,31.36,Provider_green,,Sehr gut,8.6,My Zuhause L mit MyTV Super ,dsl
2025-03-09 18:00:00,desktop,200.0,True,False,True,,28.95,Provider_yellow,,Gut,7.7,ExtraZuhause 100 ,fiberglass
2025-03-09 13:00:00,desktop,200.0,True,False,True,,47.1,Provider_green,,Sehr gut,8.6,My Zuhause XL Hybrid ,dsl
2025-03-09 17:00:00,desktop,400.0,True,False,True,,15.28,Provider_yellow,,Sehr gut,8.1,ExtraZuhause 100 Kabel ,cable
2025-03-09 16:30:00,desktop,400.0,True,False,True,,15.28,Provider_yellow,,Gut,7.9,ExtraZuhause 100 Kabel ,cable
2025-03-09 20:00:00,desktop,200.0,True,False,True,,30.35,Provider_yellow,,Sehr gut,8.1,ExtraZuhause 250 DSL ,dsl
2025-03-09 12:00:00,desktop,300.0,True,False,True,,19.03,Provider_yellow,,Sehr gut,8.3,ExtraZuhause 250 Kabel ,cable
2025-03-09 15:00:00,desktop,400.0,True,False,True,,15.28,Provider_yellow,,Gut,7.8,ExtraZuhause 100 Kabel ,cable
2025-03-09 18:30:00,desktop,400.0,True,False,True,,15.28,Provider_yellow,,Sehr gut,8.2,ExtraZuhause 100 Kabel ,cable
2025-03-09 21:00:00,desktop,400.0,True,True,True,,9.99,Provider_yellow,,Sehr gut,8.2,ExtraZuhause 100 Kabel inkl. TV Connect ,cable
2025-03-09 09:30:00,desktop,200.0,True,False,True,,26.19,Provider_yellow,,Sehr gut,8.0,ExtraZuhause 100 DSL ,dsl
